Date,Open,High,Low,Close,Adj Close,Volume
2022-08-15,33.410000,34.250000,33.139999,33.669998,33.669998,187200
2022-08-16,33.270000,33.270000,32.000000,32.270000,32.270000,292600
2022-08-17,31.500000,31.500000,30.260000,30.299999,30.299999,303800
2022-08-18,30.030001,30.690001,29.610001,30.469999,30.469999,270600
2022-08-19,29.750000,29.850000,28.170000,28.450001,28.450001,428200
2022-08-22,27.940001,28.650000,27.639999,28.379999,28.379999,321700
2022-08-23,28.389999,29.490000,27.770000,27.889999,27.889999,156000
2022-08-24,28.120001,28.690001,27.799999,28.020000,28.020000,500000
2022-08-25,28.209999,28.940001,27.740000,28.670000,28.670000,1018400
2022-08-26,24.000000,24.719999,19.799999,20.690001,20.690001,4328600
2022-08-29,20.250000,21.485001,20.049999,20.740000,20.740000,936800
2022-08-30,20.950001,21.350000,19.950001,20.290001,20.290001,709800
2022-08-31,20.510000,21.020000,19.219999,19.260000,19.260000,996800
2022-09-01,18.709999,19.330000,18.170000,19.090000,19.090000,810700
2022-09-02,19.879999,19.879999,18.299999,18.690001,18.690001,562300
2022-09-06,18.660000,19.469999,18.370001,19.129999,19.129999,621200
2022-09-07,19.020000,20.770000,18.900000,20.379999,20.379999,650100
2022-09-08,19.760000,20.820000,19.760000,20.719999,20.719999,423400
2022-09-09,21.129999,21.760000,20.889999,21.700001,21.700001,654500
2022-09-12,22.030001,22.790001,21.754999,21.889999,21.889999,755500
2022-09-13,20.410000,21.379999,20.350000,20.990000,20.990000,534200
2022-09-14,20.990000,21.469999,20.360001,21.430000,21.430000,664500
2022-09-15,21.010000,22.129999,20.865000,21.040001,21.040001,496700
2022-09-16,20.450001,20.780001,19.170000,19.490000,19.490000,1733400
2022-09-19,19.049999,19.690001,18.799999,19.620001,19.620001,423500
2022-09-20,19.160000,19.440001,18.450001,18.469999,18.469999,378600
2022-09-21,18.520000,19.020000,17.969999,17.980000,17.980000,571600
2022-09-22,17.629999,17.895000,16.770000,17.150000,17.150000,473800
2022-09-23,16.790001,17.400000,16.410000,16.799999,16.799999,460800
2022-09-26,16.650000,17.290001,16.620001,16.639999,16.639999,566700
2022-09-27,17.110001,18.309999,17.110001,18.059999,18.059999,540100
2022-09-28,18.260000,18.985001,17.950001,18.889999,18.889999,417900
2022-09-29,18.360001,18.709999,17.920000,18.680000,18.680000,329400
2022-09-30,18.660000,19.040001,17.959999,17.990000,17.990000,333600
2022-10-03,18.360001,18.565001,17.469999,18.000000,18.000000,343800
2022-10-04,18.620001,19.555000,18.620001,18.980000,18.980000,548000
2022-10-05,18.129999,19.760000,18.129999,19.580000,19.580000,378700
2022-10-06,19.410000,19.940001,18.910000,19.040001,19.040001,339600
2022-10-07,18.379999,18.520000,17.410000,17.430000,17.430000,406300
2022-10-10,17.440001,17.440001,15.395000,15.440000,15.440000,484500
2022-10-11,15.340000,15.920000,14.630000,15.590000,15.590000,561400
2022-10-12,15.650000,15.760000,14.860000,15.200000,15.200000,455200
2022-10-13,14.390000,15.090000,14.000000,14.790000,14.790000,724600
2022-10-14,15.140000,15.200000,14.035000,14.180000,14.180000,509200
2022-10-17,14.910000,16.250000,14.850000,15.780000,15.780000,592400
2022-10-18,16.840000,17.410000,16.420000,17.030001,17.030001,380300
2022-10-19,16.790001,17.100000,16.370001,16.700001,16.700001,289800
2022-10-20,16.740000,17.950001,16.700001,17.100000,17.100000,299200
2022-10-21,17.090000,18.040001,16.510000,17.959999,17.959999,373200
2022-10-24,18.110001,18.110001,16.740000,17.389999,17.389999,438800
2022-10-25,17.790001,19.180000,17.420000,19.160000,19.160000,598600
2022-10-26,18.760000,20.180000,18.270000,18.299999,18.299999,547400
2022-10-27,18.295000,19.160000,18.295000,18.469999,18.469999,235300
2022-10-28,18.469999,18.738001,17.950001,18.200001,18.200001,254900
2022-10-31,17.950001,18.350000,17.480000,17.670000,17.670000,424700
2022-11-01,18.180000,18.375999,17.230000,17.309999,17.309999,300800
2022-11-02,17.400000,17.709999,16.110001,16.309999,16.309999,643400
2022-11-03,16.120001,16.969999,15.830000,16.290001,16.290001,322600
2022-11-04,16.469999,16.629999,14.410000,15.180000,15.180000,438700
2022-11-07,15.420000,15.420000,14.140000,14.410000,14.410000,348800
2022-11-08,14.660000,14.780000,13.649000,13.830000,13.830000,479500
2022-11-09,13.650000,13.780000,12.970000,13.150000,13.150000,333400
2022-11-10,14.150000,14.960000,14.150000,14.600000,14.600000,693000
2022-11-11,14.580000,16.240000,14.140000,16.180000,16.180000,805800
2022-11-14,15.960000,16.209999,15.090000,15.100000,15.100000,313200
2022-11-15,15.700000,16.420000,15.210000,15.560000,15.560000,420500
2022-11-16,15.200000,15.200000,14.000000,14.060000,14.060000,394700
2022-11-17,13.540000,13.876000,13.150000,13.650000,13.650000,341700
2022-11-18,14.090000,14.240000,13.340000,13.590000,13.590000,292500
2022-11-21,13.450000,13.690000,13.150000,13.340000,13.340000,408200
2022-11-22,13.330000,13.330000,12.440000,13.060000,13.060000,389800
2022-11-23,13.040000,14.050000,12.890000,13.970000,13.970000,249700
2022-11-25,13.860000,13.860000,13.250000,13.280000,13.280000,159900
2022-11-28,13.200000,13.590000,13.100000,13.290000,13.290000,387200
2022-11-29,13.200000,13.535000,12.830000,13.410000,13.410000,389100
2022-11-30,13.520000,14.300000,13.110000,14.300000,14.300000,501600
2022-12-01,14.320000,15.170000,14.280000,14.840000,14.840000,416700
2022-12-02,14.360000,15.290000,14.250000,15.220000,15.220000,275900
2022-12-05,15.270000,15.270000,14.370000,14.620000,14.620000,376600
2022-12-06,14.690000,15.210000,14.410000,14.900000,14.900000,399600
2022-12-07,14.810000,15.020000,14.160000,14.530000,14.530000,389100
2022-12-08,14.700000,15.380000,14.380000,14.890000,14.890000,1043500
2022-12-09,14.920000,18.120001,14.920000,17.559999,17.559999,996900
2022-12-12,17.200001,17.230000,15.203000,15.260000,15.260000,909600
2022-12-13,16.450001,16.590000,15.280000,15.940000,15.940000,721100
2022-12-14,15.900000,17.090000,15.678000,16.610001,16.610001,875800
2022-12-15,16.030001,16.190001,15.300000,16.010000,16.010000,538500
2022-12-16,15.770000,16.600000,15.550000,16.549999,16.549999,2177500
2022-12-19,16.540001,16.629999,14.390000,14.440000,14.440000,562600
2022-12-20,14.200000,14.740000,14.110000,14.550000,14.550000,510500
2022-12-21,14.500000,14.940000,13.840000,14.610000,14.610000,532400
2022-12-22,14.280000,14.350000,13.680000,14.090000,14.090000,396500
2022-12-23,13.990000,13.990000,12.720000,13.230000,13.230000,664200
2022-12-27,13.110000,13.150000,12.235000,12.250000,12.250000,465000
2022-12-28,12.200000,12.760000,12.103000,12.750000,12.750000,483700
2022-12-29,12.950000,14.410000,12.835000,14.350000,14.350000,451000
2022-12-30,13.960000,14.470000,13.710000,14.240000,14.240000,255700
2023-01-03,14.630000,15.130000,13.780000,14.000000,14.000000,284600
2023-01-04,14.280000,14.460000,13.780000,14.200000,14.200000,276000
